"","id","group"
"1","ZS-YY","non-transloc"
"2","LL-ZC","non-transloc"
"3","ZC-LG","non-transloc"
"4","ZP-GA","non-transloc"
"5","ZW-OO","non-transloc"
"6","ZG-AP","non-transloc"
"7","ZW-OP","non-transloc"
"8","ZY-WB","non-transloc"
"9","ZB-SC","non-transloc"
"10","ZO-BY","non-transloc"
"11","ZC-LO","non-transloc"
"12","ZA-PP","non-transloc"
"13","ZA-PW","non-transloc"
"14","ZL-CB","non-transloc"
"15","ZW-PY","non-transloc"
"16","ZS-GL","non-transloc"
"17","ZY-GO","non-transloc"
"18","ZY-GP","non-transloc"
"19","ZC-BL","non-transloc"
"20","ZC-BG","non-transloc"
"21","ZC-BB","non-transloc"
"22","ZA-PS","non-transloc"
"23","ZB-CA","non-transloc"
"24","ZB-CG","non-transloc"
"25","ZL-SG","non-transloc"
"26","ZL-SY","non-transloc"
"27","ZL-SA","non-transloc"
"28","ZA-PO","non-transloc"
"29","ZW-PL","non-transloc"
"30","ZS-GG","non-transloc"
"31","ZO-BP","non-transloc"
"32","ZG-AO","non-transloc"
"33","ZC-BO","non-transloc"
"34","ZP-AG","non-transloc"
"35","ZP-AY","non-transloc"
"36","ZO-OG","non-transloc"
"37","ZO-OY","non-transloc"
"38","ZO-OL","non-transloc"
"39","ZG-YW","non-transloc"
"40","ZO-OA","non-transloc"
"41","ZA-WP","non-transloc"
"42","ZG-YP","non-transloc"
"43","ZC-LY","non-transloc"
"44","ZO-YB","non-transloc"
"45","ZL-CW","non-transloc"
"46","ZA-WW","non-transloc"
"47","ZA-WO","non-transloc"
"48","ZY-GW","non-transloc"
"49","ZO-OW","non-transloc"
"50","ZO-OB","non-transloc"
"51","ZP-GY","non-transloc"
"52","ZP-AW","non-transloc"
"53","Z-YYY","non-transloc"
"54","Z-YLL","non-transloc"
"55","Z-YGG","non-transloc"
"56","Z-LLL","non-transloc"
"57","Z-LYY","non-transloc"
"58","ZO-BW","non-transloc"
"59","ZS-YL","non-transloc"
"60","ZA-PG","non-transloc"
"61","ZA-PA","non-transloc"
"62","ZW-PB","non-transloc"
"63","ZB-CY","non-transloc"
"64","ZB-CL","non-transloc"
"65","ZB-CP","non-transloc"
"66","ZA-PC","non-transloc"
"67","ZS-YG","non-transloc"
"68","ZW-OS","non-transloc"
"69","ZO-LA","non-transloc"
"70","ZW-YA","non-transloc"
"71","ZB-YO","non-transloc"
"72","ZW-WY","non-transloc"
"73","ZW-WL","non-transloc"
"74","ZP-GB","non-transloc"
"75","ZP-GC","non-transloc"
"76","ZC-LW","non-transloc"
"77","ZC-LP","non-transloc"
"78","ZW-WG","non-transloc"
"79","ZS-YC","non-transloc"
"80","ZS-YS","non-transloc"
"81","ZW-CO","non-transloc"
"82","ZG-SB","non-transloc"
"83","ZL-SW","non-transloc"
"84","ZY-LS","non-transloc"
"85","ZY-LC","non-transloc"
"86","ZA-LB","non-transloc"
"87","AL-ZA","non-transloc"
"88","ZG-WC","non-transloc"
"89","ZL-AA","non-transloc"
"90","ZL-AB","non-transloc"
"91","ZY-SO","non-transloc"
"92","ZW-BA","non-transloc"
"93","ZS-GS","non-transloc"
"94","ZB-WA","non-transloc"
"95","ZL-AC","non-transloc"
"96","ZW-AS","non-transloc"
"97","ZY-BS","non-transloc"
"98","ZB-BC","non-transloc"
"99","ZY-WS","non-transloc"
"100","ZY-SP","non-transloc"
"101","ZA-CS","non-transloc"
"102","ZY-SL","non-transloc"
"103","ZY-CS","non-transloc"
"104","ZY-YY","non-transloc"
"105","ZY-YL","non-transloc"
"106","ZY-LY","non-transloc"
"107","ZW-LL","non-transloc"
"108","ZW-GL","non-transloc"
"109","KOW-BZ","ANF"
"110","ZB=CL","non-transloc"
"111","HBH-Z","non-transloc"
"112","GAB-ZG","ANF"
"113","ZG-GWO","ANF"
"114","GBK-PZ","ANF"
"115","ZA-GGG","ANF"
"116","ZA-AHA","FTB"
"117","YZ-LGL","FTB"
"118","PZ-PAP","FTB"
"119","ZO-AGA","FTB"
"120","HBO-Z","non-transloc"
"121","OHA-ZK","ANF"
"122","OWO-AZ","ANF"
"123","OAW-PZ","ANF"
"124","ZK-OHP","ANF"
"125","KKY-WZ","ANF"
"126","ZA-KBY","ANF"
"127","WZ-KAY","ANF"
"128","KYB-ZK","ANF"
"129","WZ-KOW","ANF"
"130","KBP-ZG","ANF"
"131","Z-SHH","non-transloc"
"132","ZK-YHG","ANF"
"133","WZ-YKA","ANF"
"134","ZG-YYF","ANF"
"135","YBP-ZF","ANF"
"136","YGB-WZ","ANF"
"137","YYH-GZ","ANF"
"138","HbZ-BOK","CBJTC"
"139","ABA-Z","non-transloc"
"140","GGG-LZ","FTS"
"141","PBY-FZ","FTS"
"142","OAG-HZ","FTS"
"143","HOO-GZ","FTS"
"144","FZ-FAF","FTS"
"145","YHB-AZ","FTS"
"146","BW-OWW","FTS"
"147","PAP-ZG","FTS"
"148","WZ-OLO","FTS"
"149","GZ-WWL","FTS"
"150","GWH-YZ","non-transloc"
"151","AZ-GBO","non-transloc"
"152","OBP-OZ","FTS"
"153","BHO-BZ","FTS"
"154","AAL-ZO","FTS"
"155","BGB-OZ","FTS"
"156","ZB-AYP","FTS"
"157","HZ-HLO","non-transloc"
"158","ZP-WWK","FTS"
"159","GZ-HBP","ONF"
"160","HGH-ZB","ONF"
"161","HKA-ZK","ONF"
"162","ZY-HOA","ONF"
"163","BZ-HYB","ONF"
"164","HAB-HZ","ONF"
"165","BZ-OKW","WSF-CITRUS"
"166","OZ-OGY","WSF-CITRUS"
"167","OZ-OOK","WSF-CITRUS"
"168","YZ-OKL","WSF-CITRUS"
"169","GZ-OOK","WSF-CITRUS"
"170","BZ-OYK","WSF-CITRUS"
"171","GYG-YZ","non-transloc"
"172","BZ-HOW","non-transloc"
"173","FemaleID_1","non-transloc"
"174","FemaleID_2","non-transloc"
"175","FemaleID_4","non-transloc"
"176","FemaleID_3","non-transloc"
"177","MaleID_2","non-transloc"
"178","FemaleID_5","non-transloc"
"179","MaleID_3","non-transloc"
"180","MaleID_1","non-transloc"
