"","id","f_ped"
"683","Z-CGY",0
"684","PAL-Z",0
"685","PKY-Z",0
"686","PKL-Z",0
"687","PAO-Z",0
"688","PCH-Z",0.06640625
"689","PAW-Z",0.06640625
"690","PBA-Z",0
"691","PHL-Z",0
"692","PYG-Z",0.0078125
"693","POP-Z",0
"694","PCK-Z",0
"695","PLW-Z",0
"696","PSP-Z",0.16796875
"697","POG-Z",0.16796875
"698","PBS-Z",0
"699","PGB-Z",0
"700","PAS-Z",0
"701","PLG-Z",0
"702","PPK-Z",0.0390625
"703","PWY-Z",0.0390625
"704","Z-POO",0.0078125
"705","PPY-Z",0.0078125
"706","PAK-Z",0
"707","PBH-Z",0
"708","PWH-Z",0
"709","PBY-Z",0
"710","PAB-Z",0.0029296875
"711","PBB-Z",0
"712","PCL-Z",0
"713","PHO-Z",0
"714","POB-Z",0
"715","AZ-GBO",0
"716","PPO-Z",0
"717","PWG-Z",0
"718","PYP-Z",0.0390625
"719","PPH-Z",0
"720","PYH-Z",0
"721","OBP-OZ",0
"722","BHO-BZ",0
"723","AAL-ZO",0
"724","BGB-OZ",0
"725","ZB-AYP",0
"726","Z-OAO",0.06640625
"727","Z-OPY",0.06640625
"728","Z-OWB",0
"729","Z-OAC",0
"730","Z-OKO",0
"731","Z-OSA",0
"732","Z-OKC",0.0078125
"733","Z-OHG",0.0078125
"734","Z-OBY",0.0390625
"735","Z-OYL",0.00390625
"736","Z-OHH",0.00390625
"737","Z-OOG",0
"738","Z-OWH",0
"739","Z-OGS",0
"740","Z-OLK",0
"741","Z-OCB",0.16796875
"742","Z-OKL",0.16796875
"743","Z-OGL",0.0390625
"744","Z-OYB",0
"745","Z-OBG",0.015625
"746","Z-OSP",0
"747","Z-OCW",0
"748","Z-OOP",0
"749","Z-OSY",0.125
"750","Z-OBL",0
"751","Z-OHW",0
"752","Z-OYO",0.0390625
"753","Z-OYH",0.015625
"754","Z-OKA",0
"755","Z-OBW",0.0234375
"756","Z-OGC",0
"757","Z-OAB",0
"758","Z-OWO",0
"759","Z-OPH",0
"760","Z-OBP",0
"761","OKY-Z",0
"762","HZ-HLO",0
"763","ZP-WWK",0
"764","Z-OWL",0
"765","Z-OLY",0
"766","Z-OPL",0
"767","Z-OLA",0
"768","Z-OGP",0
"769","Z-OPS",0
"770","Z-OBH",0.06640625
"771","GZ-HBP",0
"772","HGH-ZB",0
"773","HKA-ZK",0
"774","ZY-HOA",0
"775","BZ-HYB",0
"776","HAB-HZ",0
"777","BOB-Z",0
"778","BLY-Z",0
"779","BLK-Z",0
"780","BWG-Z",0
"781","BOP-Z",0
"782","BPO-Z",0.16796875
"783","BYG-Z",0.16796875
"784","BOL-Z",0
"785","BAW-Z",0
"786","BSY-Z",0
"787","BPA-Z",0
"788","BCH-Z",0
"789","BKY-Z",0.015625
"790","798",0.015625
"791","BWH-Z",0.00390625
"792","BAC-Z",0.00390625
"793","BLG-Z",0
"794","BHS-Z",0
"795","BOY-Z",0.080078125
"796","BOS-Z",0.080078125
"797","BCA-Z",0
"798","BGH-Z",0
"799","BYK-Z",0
"800","BHL-Z",0
"801","BSP-Z",0
"802","BKW-Z",0
"803","BBA-Z",0
"804","BLP-Z",0.017578125
"805","BAG-Z",0
"806","BAO-Z",0.05615234375
"807","BWO-Z",0.06640625
"808","BLO-Z",0.125
"809","BHH-Z",0.125
"810","BAB-Z",0.06640625
"811","BLW-Z",0.06640625
"812","BKH-Z",0
"813","BOK-Z",0
"814","BPY-Z",0
"815","BAY-Z",0
"816","BYS-Z",0
"817","BCW-Z",0
"818","-ZHO",0
"819","O-ZL",0
"820","OO-ZO",0
"821","HS-ZH",0
"822","YA-ZB",0
"823","CW-ZG",0
"824","WG-ZG",0
"825","PP-ZH",0
"826","PC-ZA",0
"827","CG-ZB",0
"828","-LZG",0.0625
"829","838",0
"830","KBY-BZ",0
"831","Z-SKY",0
"832","Z-SAG",0
"833","Z-SOB",0
"834","Z-SHY",0
"835","Z-SAP",0
"836","Z-SAY",0.017578125
"837","Z-SGO",0.017578125
"838","Z-SHB",0
"839","Z-SPY",0
"840","849",0
"841","Z-SWP",0
"842","Z-SAC",0.125
"843","Z-SOS",0
"844","Z-SKA",0
"845","Z-SBH",0
"846","Z-SWO",0.009765625
"847","Z-SYK",0.080078125
"848","Z-SGY",0.015625
"849","Z-SCB",0
"850","Z-SHA",0
"851","Z-SSY",0
"852","861",0
"853","Z-SWH",0.02294921875
"854","Z-SKW",0.043701171875
"855","Z-SWG",0
"856","Z-SKC",0
"857","Z-SYY",0.0712890625
"858","Z-SGA",0.06640625
"859","Z-SPC",0.06640625
"860","Z-SHP",0
"861","Z-SCO",0.0078125
"862","Z-SBK",0.0078125
"863","Z-SAO",0.00341796875
"864","Z-SSH",0
"865","Z-SCW",0
"866","Z-SYP",0.015625
"867","Z-SPA",0.015625
"868","Z-SCS",0
"869","Z-SBW",0.16796875
"870","Z-SSK",0
"871","BZ-OKW",0
"872","OZ-OGY",0
"873","OZ-OOK",0
"874","YZ-OKL",0
"875","GZ-OOK",0
"876","BZ-OYK",0
"877","886",0
"878","YOW-Z",0
"879","YAS-Z",0
"880","YAP-Z",0.017578125
"881","YBH-Z",0.017578125
"882","YGY-Z",0
"883","YBO-Z",0
"884","YHB-Z",0
"885","YWS-Z",0
"886","YCG-Z",0.125
"887","YKO-Z",0.125
"888","YAY-Z",0.16796875
"889","YWB-Z",0.16796875
"890","YKA-Z",0
"891","YYG-Z",0.043701171875
"892","YKY-Z",0
"893","YHP-Z",0
"894","903",0
"895","YOG-Z",0
"896","YAO-Z",0
"897","YPW-Z",0
"898","YAH-Z",0
"899","YPB-Z",0
"900","YSA-Z",0
"901","YCY-Z",0.080078125
"902","YOO-Z",0.080078125
"903","YGW-Z",0
"904","YAG-Z",0
"905","COB-Z",0
"906","CAP-Z",0.015625
"907","YWW-Z",0.0712890625
"908","YOB-Z",0.02294921875
"909","YKH-Z",0.02294921875
"910","YYB-Z",0.0625
"911","YCO-Z",0.0625
"912","YSK-Z",0
"913","YPG-Z",0
"914","YBB-Z",0
"915","924",0
"916","YHK-Z",0.015625
"917","YCB-Z",0
"918","927",0
"919","YGO-Z",0.06640625
"920","YSH-Z",0.06640625
"921","YWG-Z",0
"922","YGG-Z",0.0078125
"923","Z-AYG",0
"924","Z-ABA",0
"925","Z-ASH",0
"926","Z-AOW",0
"927","Z-AHA",0.16796875
"928","Z-AGO",0.16796875
"929","Z-AYY",0.16796875
"930","941",0.154052734375
"931","Z-AHG",0.154052734375
"932","Z-ABO",0
"933","Z-AWY",0
"934","Z-ASK",0.015625
"935","Z-ABY",0
"936","Z-AOY",0
"937","Z-AKA",0
"938","Z-AKO",0
"939","Z-AYB",0.00390625
"940","Z-AGS",0.00390625
"941","Z-AWB",0.02294921875
"942","Z-AKH",0.0625
"943","Z-AGK",0.0625
"944","Z-AAO",0.06640625
"945","Z-AHH",0.06640625
"946","Z-AKY",0.06640625
"947","Z-ASS",0.00390625
"948","Z-ASG",0
"949","Z-AAY",0
"950","Z-AOB",0.0078125
"951","Z-AWH",0.0078125
"952","Z-AGY",0
"953","964",0
"954","Z-AGA",0
"955","Z-AHO",0
"956","967",0
"957","Z-AYO",0.00146484375
"958","Z-AAK",0
"959","Z-AOS",0
"960","Z-AHY",0
"961","Z-ASO",0
"962","Z-ABH",0
"963","Z-AWG",0
"964","Z-AOG",0.0009765625
"965","Z-AWO",0.043701171875
"966","Z-ABW",0.02734375
"967","Z-AKW",0
"968","Z-AAB",0
"969","Z-AYS",0.017578125
"970","Z-AHW",0.017578125
"971","Z-ABS",0
"972","Z-ASA",0
"973","HOO-Z",0
"974","HOP-Z",0
"975","HAG-Z",0
"976","HHH-Z",0
"977","HOW-Z",0
"978","HPY-Z",0.001708984375
"979","HGA-Z",0.001708984375
"980","HAH-Z",0.0009765625
"981","HBW-Z",0.0009765625
"982","HBB-Z",0.017578125
"983","HSH-Z",0
"984","HHG-Z",0
"985","HKP-Z",0
"986","HAY-Z",0.16796875
"987","HOG-Z",0.16796875
"988","HAK-Z",0
"989","HSP-Z",0
"990","HYA-Z",0.00146484375
"991","HYB-Z",0.00146484375
"992","HYO-Z",0.0625
"993","HBP-Z",0.0625
"994","HWH-Z",0.043701171875
"995","HSS-Z",0.0029296875
"996","HWB-Z",0.043701171875
"997","Z-HWW",0.041259765625
"998","HGW-Z",0.00830078125
"999","HWA-Z",0.00830078125
"1000","HSA-Z",0
"1001","HHA-Z",0
"1002","HPW-Z",0
"1003","HYY-Z",0.020263671875
"1004","HKW-Z",0.0078125
"1005","HWG-Z",0.02294921875
"1006","HKO-Z",0.02294921875
"1007","HYW-Z",0
"1008","HGO-Z",0
"1009","HOY-Z",0.0712890625
"1010","A-Z",0.0712890625
"1011","HGG-Z",0.0205078125
"1012","HPP-Z",0
"1013","HHO-Z",0.0634765625
"1014","HKY-Z",0.0634765625
"1015","HGH-Z",0
"1016","HYG-Z",0
"1017","HKH-Z",0.00390625
"1018","HHW-Z",0.0009765625
"1019","1032",0
"1020","1033",0
"1021","HSG-Z",0
"1022","HOA-Z",0
"1023","HSY-Z",0.00787353515625
"1024","HAA-Z",0
"1025","HAS-Z",0.017578125
"1026","HGY-Z",0.017578125
"1027","HYP-Z",0
"1028","1042",0.05419921875
"1029","GYG-YZ",0
"1030","Z-GAB",0
"1031","Z-GOO",0
"1032","Z-GOW",0.0009765625
"1033","Z-GYA",0.0009765625
"1034","Z-GKY",0.017578125
"1035","Z-GBG",0.017578125
"1036","Z-GYO",0
"1037","Z-GWB",0
"1038","Z-GAK",0
"1039","Z-GOB",0
"1040","Z-GGA",0
"1041","Z-GOG",0
"1042","Z-GBY",0
"1043","Z-GWY",0.00390625
"1044","Z-GOK",0.00390625
"1045","Z-GKB",0.00390625
"1046","Z-GBB",0.041259765625
"1047","Z-GYY",0.041259765625
"1048","Z-GAO",0
"1049","Z-GYB",0
"1050","Z-GOY",0
"1051","Z-GWW",0
"1052","Z-GOA",0
"1053","Z-GWK",0.0009765625
"1054","Z-GAY",0.16796875
"1055","Z-GBW",0.16796875
"1056","Z-GKG",0
"1057","GYG-Z",0.00390625
"1058","Z-GGG",0
"1059","Z-GWO",0
"1060","Z-GYW",0
"1061","Z-GBK",0
"1062","1076",0.0634765625
"1063","1077",0.0634765625
"1064","Z-GGO",0.00830078125
"1065","Z-GBA",0
"1066","1080",0
"1067","Z-GKO",0
"1068","Z-GGW",0.001953125
"1069","Z-GAG",0.0078125
"1070","Z-GWG",0
"1071","Z-GAA",0.043701171875
"1072","Z-GRG",0.020263671875
"1073","Z-GAR",0.020263671875
"1074","Z-GKA",0
"1075","1089",0
"1076","1090",0.05419921875
"1077","GKK-Z",0.0625
"1078","Z-GRO",0.0625
"1079","Z-GGK",0
"1080","Z-GKW",0.01123046875
"1081","Z-GGY",0.0703125
"1082","Z-GAW",0
"1083","Z-GGB",0.0205078125
"1084","Z-GYK",0
"1085","WOW-Z",0.00390625
"1086","WAA-Z",0.00390625
"1087","WYK-Z",0.0078125
"1088","WKB-Z",0
"1089","WYW-Z",0
"1090","WGB-Z",0
"1091","WKG-Z",0
"1092","WWB-Z",0.13427734375
"1093","WOG-Z",0.017578125
"1094","WYY-Z",0.017578125
"1095","WAK-Z",0
"1096","WGY-Z",0.05419921875
"1097","WWO-Z",0.05419921875
"1098","WGO-Z",0
"1099","WBY-Z",0
"1100","WAB-Z",0
"1101","1117",0
"1102","WOK-Z",0.005859375
"1103","1119",0.005859375
"1104","WRY-Z",0.005859375
"1105","WYA-Z",0.16796875
"1106","WBB-Z",0
"1107","WKO-Z",0
"1108","WYB-Z",0.0625
"1109","WBO-Z",0.0625
"1110","WWG-Z",0
"1111","WWA-Z",0.007171630859375
"1112","WKK-Z",0.007171630859375
"1113","WGG-Z",0.0634765625
"1114","WAY-Z",0
"1115","WGW-Z",0
"1116","WAG-Z",0.0009765625
"1117","WOA-Z",0.0009765625
"1118","WKA-Z",0.076904296875
"1119","WOB-Z",0.0205078125
"1120","WGK-Z",0.0078125
"1121","WAO-Z",0.0078125
"1122","WBK-Z",0.0521240234375
"1123","WBG-Z",0
"1124","WWY-Z",0
"1125","WOO-Z",0.05419921875
"1126","WWK-Z",0.01123046875
"1127","WOY-Z",0
"1128","WBW-Z",0
"1129","WGA-Z",0.0455322265625
"1130","WAW-Z",0.11395263671875
"1131","WYO-Z",0.11395263671875
"1132","WBA-Z",0.00390625
"1133","WYG-Z",0.031005859375
"1134","WKW-Z",0.00048828125
"1135","WKY-Z",0.0029296875
"1136","WRB-Z",0.043701171875
"1137","WRK-Z",0.020263671875
"1138","1154",0.0455322265625
"1139","WRG-Z",0.01025390625
"1140","WOR-Z",0.041259765625
"1141","1157",0.041259765625
"1142","WYR-Z",0.00830078125
"1143","BZ-HOW",0
"1144","Z-BBB",0.0078125
"1145","Z-BAO",0.00390625
"1146","Z-BYO",0.00390625
"1147","Z-BWG",0.00390625
"1148","Z-BAY",0
"1149","Z-BYG",0
"1150","Z-BWK",0.0009765625
"1151","Z-BGA",0.0009765625
"1152","Z-BWB",0.05419921875
"1153","Z-BOG",0.05419921875
"1154","Z-BBK",0.020263671875
"1155","Z-BOA",0.11395263671875
"1156","Z-BYY",0.11395263671875
"1157","Z-BOB",0.13427734375
"1158","Z-BKW",0
"1159","Z-BAG",0
"1160","Z-BOY",0.05419921875
"1161","Z-BGG",0.01220703125
"1162","Z-BAA",0.01220703125
"1163","Z-BKO",0.005859375
"1164","Z-BGY",0.005859375
"1165","Z-BYA",0.041259765625
"1166","Z-BBY",0.041259765625
"1167","Z-BKB",0
"1168","Z-BWW",0
"1169","Z-BKG",0.076904296875
"1170","Z-BOO",0
"1171","Z-BKY",0.0078125
"1172","Z-BBW",0.0078125
"1173","Z-BYK",0.0625
"1174","Z-BGB",0.0625
"1175","Z-BBO",0
"1176","Z-BAK",0.0455322265625
"1177","Z-BYB",0.007171630859375
"1178","Z-BGO",0
"1179","Z-BKK",0
"1180","Z-BWO",0
"1181","Z-BWA",0.031005859375
"1182","Z-BBG",0.031005859375
"1183","Z-BOK",0
"1184","BWY-Z",0
"1185","Z-BOW",0.017578125
"1186","Z-BAW",0.017578125
"1187","Z-BYW",0
"1188","Z-BAB",0
"1189","Z-BGK",0
"1190","Z-BGW",0.0185546875
"1191","Z-BOR",0.00048828125
"1192","Z-BRO",0
"1193","1210",0
"1194","1211",0.043701171875
"1195","1212",0.043701171875
"1196","1213",0.01123046875
"1197","1214",0
"1198","1215",0
"1199","Z-BYR",0.0521240234375
"1200","1217",0.001953125
"1201","Z-BGR",0.13427734375
"1202","Z-BRY",0.13427734375
"1203","FemaleID_1",0
"1204","FemaleID_2",0
"1205","FemaleID_4",0
"1206","FemaleID_3",0
"1207","MaleID_2",0
"1208","FemaleID_5",0
"1209","MaleID_3",0
"1210","MaleID_1",0
