"","RCWid","year","Sex","ID","TranslocationDate","Type","Source","MovedAsPair","PairedTo","ClusterOrigin","CavityOrigin","ClusterDestination","CavityDestination","TranslocationSuccess","MateSuccess","Bred.","sex_color","source_color"
"1","KOW-BZ",1998,"F",3,"1998-12-15","Inter-population","ANF",0,"ZA-WO","AP19",NA,"AP12","AP120902",1,1,TRUE,"#ADD6D6","#FAC7D3"
"2","GAB-ZG",2001,"F",6,"2001-12-12","Inter-population","ANF",1,"ZG-GWO",NA,NA,"AP49","AP490201",2,2,TRUE,"#9DCECE","#F9C1CE"
"3","ZA-GGG",2001,"F",5,"2001-12-07","Inter-population","ANF",1,"GBK-PZ",NA,NA,"AP41","AP411001",5,4,FALSE,"#8EC6C6","#F9BCCA"
"4","ZK-OHP",2003,"F",19,"2003-11-18","Inter-population","ANF",1,"OWO-AZ",NA,NA,"AP30","AP301301",2,2,TRUE,"#6FB7B7","#F8B6C6"
"5","ZA-KBY",2005,"F",24,"2005-11-04","Inter-population","ANF",1,"KBP-ZG",NA,NA,"AP53","AP530101",5,4,FALSE,"#60AFAF","#F8B1C2"
"6","KYB-ZK",2005,"F",27,"2005-11-04","Inter-population","ANF",1,"WZ-KAY","AP01",NA,"AP55","AP550401",2,4,FALSE,"#50A8A8","#F7ABBE"
"7","WZ-KOW",2005,"F",29,"2005-11-04","Inter-population","ANF",1,"KKY-WZ",NA,NA,"AP54","AP540601",2,2,TRUE,"#41A0A0","#F7A6B9"
"8","WZ-YKA",2007,"F",35,"2007-11-09","Inter-population","ANF",1,"ZK-YHG",NA,NA,"AP46","AP460501",2,2,TRUE,"#329999","#F69FB4"
"9","ZG-YYF",2007,"F",39,"2007-11-09","Inter-population","ANF",1,"YYH-GZ",NA,NA,"AP55","AP550601",2,1,TRUE,"#309595","#F594AB"
"10","YGB-WZ",2007,"F",37,"2007-11-09","Inter-population","ANF",1,"YBP-ZF",NA,NA,"AP03","AP032001",2,2,TRUE,"#2F9191","#F489A2"
"11","ZG-GWO",2001,"M",7,"2001-12-12","Inter-population","ANF",1,"GAB-ZG",NA,NA,"AP49","AP490301",3,3,TRUE,"#EA9999","#F37D9A"
"12","GBK-PZ",2001,"M",4,"2001-12-07","Inter-population","ANF",1,"ZA-GGG","AP02",NA,"AP41","AP411101",1,2,TRUE,"#E68888","#F27291"
"13","OHA-ZK",2003,"M",23,"2003-11-18","Inter-population","ANF",1,"KOG-OZ",NA,NA,"AP53","AP530201",2,2,TRUE,"#D94747","#F16788"
"14","OWO-AZ",2003,"M",20,"2003-11-18","Inter-population","ANF",1,"ZK-OHP","AP03",NA,"AP30","AP301401",3,2,TRUE,"#D63636","#F05C7F"
"15","OAW-PZ",2003,"M",22,"2003-11-18","Inter-population","ANF",1,"KYB-YZ","AP21",NA,"AP54","AP540101",3,4,TRUE,"#D32626","#EB5579"
"16","KKY-WZ",2005,"M",26,"2005-11-04","Inter-population","ANF",1,"WZ-KOW","AP47",NA,"AP54","AP540501",3,2,TRUE,"#D01515","#E35073"
"17","WZ-KAY",2005,"M",28,"2005-11-04","Inter-population","ANF",1,"KYB-ZK",NA,NA,"AP55","AP550601",3,2,TRUE,"#CD0505","#DC4B6E"
"18","KBP-ZG",2005,"M",25,"2005-11-04","Inter-population","ANF",1,"ZA-KBY","AP36",NA,"AP53","AP530201",5,4,FALSE,"#C90000","#D54668"
"19","ZK-YHG",2007,"M",34,"2007-11-09","Inter-population","ANF",1,"WZ-YKA",NA,NA,"AP46","AP460601",5,4,FALSE,"#C40000","#CD4163"
"20","YBP-ZF",2007,"M",36,"2007-11-09","Inter-population","ANF",1,"YGB-WZ",NA,NA,"AP03","AP032101",5,4,FALSE,"#C00000","#C63C5D"
"21","YYH-GZ",2007,"M",38,"2007-11-09","Inter-population","ANF",1,"ZG-YYF",NA,NA,"AP55","AP550401",2,1,TRUE,"#BB0000","#BF3858"
"22","HbZ-BOK",2008,"M",42,"2008-11-25","Inter-population","CBJTC",1,"GL-Z","AP07",NA,"AP16","AP160801",2,2,TRUE,"#B70000","#FFDB19"
"23","ZO-AGA",2002,"F",10,"2002-10-30","Inter-population","FTB",1,"ZA-AHA",NA,NA,"AP48","AP480201",5,4,FALSE,"#7EBFBF","#B2B2B2"
"24","ZA-AHA",2002,"M",11,"2002-10-30","Inter-population","FTB",1,"ZO-AGA","AP21",NA,"AP48","AP480301",2,2,TRUE,"#E37878","#808080"
"25","YZ-LGL",2002,"M",14,"2002-10-30","Inter-population","FTB",1,"-CZC","AP15",NA,"AP49","AP490301",3,3,TRUE,"#E06767","#595959"
"26","PZ-PAP",2002,"M",12,"2002-10-30","Inter-population","FTB",1,"-BZA",NA,NA,"AP30","AP301801",5,4,FALSE,"#DD5757","#333333"
"27","OAG-HZ",2009,"F",43,"2009-10-30","Inter-population","FTS",1,"PBY-FZ",NA,NA,"AP40","AP400401",2,3,TRUE,"#2E8D8D","#69E6C6"
"28","FZ-FAF",2009,"F",50,"2009-10-30","Inter-population","FTS",1,"PAP-ZG",NA,NA,"AP54","AP540501",5,4,FALSE,"#2C8989","#55E2BE"
"29","BW-OWW",2009,"F",51,"2009-10-30","Inter-population","FTS",1,"YHB-AZ",NA,NA,"AP43","AP430901",5,4,FALSE,"#2B8585","#41DFB6"
"30","WZ-OLO",2009,"F",45,"2009-10-30","Inter-population","FTS",1,"GGG-LZ",NA,NA,"AP16","AP160701",2,2,TRUE,"#2A8181","#2DDCAF"
"31","GZ-WWL",2009,"F",48,"2009-10-30","Inter-population","FTS",1,"HOO-GZ",NA,NA,"AP61","AP610301",2,2,TRUE,"#297D7D","#19D9A7"
"32","OBP-OZ",2014,"F",65,"2014-11-21","Inter-population","FTS",1,"ZB-AYP",NA,NA,"AP37","AP370401",5,4,FALSE,"#287A7A","#06D6A0"
"33","BHO-BZ",2014,"F",67,"2014-11-21","Inter-population","FTS",1,"ZP-WWK",NA,NA,"AP67","AP670301",3,2,TRUE,"#267676","#05C493"
"34","AAL-ZO",2014,"F",69,"2014-11-21","Inter-population","FTS",1,"BGB-OZ",NA,NA,"AP66","AP660301",5,4,FALSE,"#257272","#04B386"
"35","GGG-LZ",2009,"M",49,"2009-10-30","Inter-population","FTS",1,"WZ-OLO",NA,NA,"AP16","AP160801",2,2,TRUE,"#B30000","#04A279"
"36","PBY-FZ",2009,"M",52,"2009-10-30","Inter-population","FTS",1,"OAG-HZ",NA,NA,"AP40","AP400301",5,4,FALSE,"#AE0000","#03916C"
"37","HOO-GZ",2009,"M",47,"2009-10-30","Inter-population","FTS",1,"GZ-WWL",NA,NA,"AP61","AP610201",2,3,FALSE,"#AA0000","#038060"
"38","YHB-AZ",2009,"M",44,"2009-10-30","Inter-population","FTS",1,"BW-OWW",NA,NA,"AP43","AP430801",1,2,TRUE,"#A50000","#08785F"
"39","PAP-ZG",2009,"M",46,"2009-10-30","Inter-population","FTS",1,"FZ-FAF",NA,NA,"AP54","AP540201",2,2,TRUE,"#A10000","#0D715E"
"40","BGB-OZ",2014,"M",68,"2014-11-21","Inter-population","FTS",1,"AAL-ZO",NA,NA,"AP66","AP660201",2,2,FALSE,"#9D0000","#13695D"
"41","ZB-AYP",2014,"M",66,"2014-11-21","Inter-population","FTS",1,"OBP-OZ",NA,NA,"AP37","AP370501",1,2,TRUE,"#980000","#18625C"
"42","ZP-WWK",2014,"M",70,"2014-11-21","Inter-population","FTS",1,"BHO-BZ",NA,NA,"AP67","AP670401",1,2,TRUE,"#940000","#1E5B5B"
"43","GZ-HBP",2015,"F",74,"2015-10-16","Inter-population","ONF",1,"ZY-HOA",NA,NA,"AP41","AP411001",3,2,TRUE,"#246E6E","#9FD0E0"
"44","HGH-ZB",2015,"F",76,"2015-10-16","Inter-population","ONF",1,"BZ-HYB",NA,NA,"AP55","AP550601",2,2,TRUE,"#236A6A","#74BBD2"
"45","HKA-ZK",2015,"F",72,"2015-10-16","Inter-population","ONF",1,"HAB-HZ",NA,NA,"AP56","AP560402",1,2,TRUE,"#216666","#49A6C4"
"46","ZY-HOA",2015,"M",73,"2015-10-16","Inter-population","ONF",1,"GZ-HBP",NA,NA,"AP41","AP410701",2,2,TRUE,"#8F0000","#1F91B6"
"47","BZ-HYB",2015,"M",75,"2015-10-16","Inter-population","ONF",1,"HGH-ZB",NA,NA,"AP55","AP550401",2,2,TRUE,"#8B0000","#0E799C"
"48","HAB-HZ",2015,"M",71,"2015-10-16","Inter-population","ONF",1,"HKA-ZK",NA,NA,"AP56","AP560701",5,4,FALSE,"#870000","#0B607C"
"49","OZ-OGY",2016,"F",83,"2016-10-25","Inter-population","WSF-CITRUS",1,"BZ-OKW",NA,NA,"AP61","AP610101",5,4,FALSE,"#206262","#D8B2D8"
"50","YZ-OKL",2016,"F",85,"2016-10-25","Inter-population","WSF-CITRUS",1,"GZ-OOK",NA,NA,"AP55",NA,5,4,FALSE,"#1F5E5E","#C184C1"
"51","BZ-OYK",2016,"F",81,"2016-10-25","Inter-population","WSF-CITRUS",1,"OZ-OOK",NA,NA,"AP41","AP410601",2,2,FALSE,"#1E5B5B","#A851A8"
"52","BZ-OKW",2016,"M",80,"2016-10-25","Inter-population","WSF-CITRUS",1,"OZ-OGY",NA,NA,"AP61","AP610301",4,NA,FALSE,"#820000","#891489"
"53","OZ-OOK",2016,"M",84,"2016-10-25","Inter-population","WSF-CITRUS",1,"BZ-OYK",NA,NA,"AP41","AP410701",1,2,FALSE,"#7E0000","#700070"
"54","GZ-OOK",2016,"M",82,"2016-10-25","Inter-population","WSF-CITRUS",1,"YZ-OKL",NA,NA,"AP55",NA,3,NA,FALSE,"#7A0000","#590059"
